dataset_name,table_name,granularity,paid/unpaid,region,hierarchy,category,dateTimeColumn,Being used,Utilised in Project
ENTSOE - Day_Ahead_Prices,Day_Ahead_Prices_PT15M,15-min,PAID,EMEA,ENTSOE,Pricing,DateTime,No,No
ENTSOE - Day_Ahead_Prices,Day_Ahead_Prices_PT60M,hourly,PAID,EMEA,ENTSOE,Pricing,DateTime,No,No
ENTSOE - Forecasted_Day_Ahead_Transfer_Capacities,Forecasted_Day_Ahead_Transfer_Capacities_PT60M,hourly,PAID,EMEA,ENTSOE,Demand,DateTime,Yes,SRD -> i1000
ENTSOE - Forecasted_Week_Ahead_Transfer_Capacities,Forecasted_Week_Ahead_Transfer_Capacities_P1D,daily,PAID,EMEA,ENTSOE,Demand,DateTime,Yes,SRD -> i1000
NATIONAL_GRID - power_demand_demand_data_update,power_demand_demand_data_update,daily,UNPAID,EMEA,NATIONAL_GRID,demand,Date Time,Yes,SRD -> i1000
NATIONAL_GRID - power_demand_forecast_day_ahead_demand_forecast,power_demand_forecast_day_ahead_demand_forecast,daily,UNPAID,EMEA,NATIONAL_GRID,demand,Date Time,Yes,SRD -> i14
NATIONAL_GRID - wind_power_forecast_14_days_ahead_wind_forecast,wind_power_forecast_14_days_ahead_wind_forecast,30-min,UNPAID,EMEA,NATIONAL_GRID,Wind Power Forecast,Datetime,Yes,SRD -> i14
NATIONAL_GRID - wind_power_forecast_embedded_solar_and_wind_forecast,wind_power_forecast_embedded_solar_and_wind_forecast,daily,UNPAID,EMEA,NATIONAL_GRID,Wind Power Forecast,Date Time,Yes,SRD -> i14
NATIONAL_GRID - power_demand_2_14_days_half_hourly_forecast,power_demand_2_14_days_half_hourly_forecast,30-min,UNPAID,EMEA,NATIONAL_GRID,Demand,Date Time,Yes,SRD -> i14
NATIONAL_GRID - power_demand_forecast_2_14_days_ahead_cardinal_point_forecast,power_demand_forecast_2_14_days_ahead_cardinal_point_forecast,daily,UNPAID,EMEA,NATIONAL_GRID,Demand,Date Time,No,No
ENTSOE - Unavailability_in_Transmission_Grid,Unavailability_in_Transmission_Grid_Active,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Unavailability_in_Transmission_Grid,Unavailability_in_Transmission_Grid_Active,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Unavailability_in_Transmission_Grid,Unavailability_in_Transmission_Grid_Cancelled,30-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Unavailability_in_Transmission_Grid,Unavailability_in_Transmission_Grid_Cancelled,30-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
